Sample,Amp28,Amp44,d15NpermilvsAIR,d13CpermilvsVPDB,wtN,wtC,Fixing,Order,Family,Tribe,binomial,Genus,Species,Native_status,Locality,Soil_pct_N_1,Soil_pct_N_2,Soil_pct_C_1,Soil_pct_C_2,County,Collector,Habitat,Habitat_detailed,State,ID_qualifier
JRD418,1447,4405,3.77,-32.03,1.46,46.31,0,Asterales,Asteraceae,n/a,Pluchea sp.,Pluchea,sp.,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD616,985,11542,6.46,-12.18,0.89,41.17,0,Poacles,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD491,2369,12387,-2.68,-14.85,2.12,43.23,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD550,1245,10024,0.73,-13.65,1.19,36.16,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD503,1631,8355,-0.54,-31.79,1.92,38.1,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD629,1661,10426,0.67,-13.91,1.62,43.27,0,Poacles,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD559,1043,11285,-1.14,-13.42,1.01,41.28,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD378,3828,8105,1.82,-13.65,1.76,42.95,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD384,4266,6443,3.72,-28.37,1.84,42.72,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD408,2138,6511,2.71,-13.93,0.95,43.52,0,Poales,Poaceae,n/a,Poaceae sp.,Poaceae,sp.,n/a,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD-314,3216,9080,-1.23,-32.19,1.39,38.68,0,Fabales,Polygaceae,n/a,Polygala lutea,Polygala,lutea,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD-319,3501,11884,2.69,-31.03,1.45,47.09,0,Asterales,Asteraceae,n/a,Pseudognaphalium obtusifolium,Pseudognaphalium,obtusifolium,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD493,1415,12145,4.26,-31.73,1.39,46.19,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD527,2100,12401,3.12,-35.79,1.92,44.24,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD528,1923,12172,1.03,-32.85,1.7,42.23,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,MSU forest,0.23,0.26,3.09,3.82,Oktibbeha,Doby,CC forest,Closed canopy forest,Mississippi,
JRD-326,4022,11235,-0.58,-30.68,1.72,47.09,0,Fagales,Fagaceae,n/a,Quercus hemispherica,Quercus,hemispherica,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD534,2113,14964,1.36,-31.3,1.85,44.95,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD535,1215,11128,2.82,-30.56,1.36,45.32,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD627,1804,10154,-1.39,-32.52,1.97,46.64,0,Fagales,Fagaceae,n/a,Quercus nigra,Quercus,nigra,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
JRD628,1366,10066,0.63,-33.05,1.55,47.33,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
JRD412,1252,4763,7.87,-29.89,1.16,46.7,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD571,1437,8079,-1.21,-30.44,1.56,47.23,0,Fagales,Fagaceae,n/a,Quercus virginiana,Quercus,virginiana,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD572,1604,10321,2.92,-30.84,1.35,45.93,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD584,1682,11532,1.45,-33.19,1.61,44.89,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD593,1276,10737,-1.99,-31.02,1.42,44.88,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD432,1736,4401,-1.79,-30.99,1.76,47.48,0,Fagales,Fagaceae,n/a,Quercus hemispherica,Quercus,hemispherica,N,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD433,1647,4645,-0.09,-31.11,1.58,46.34,0,Fagales,Fagaceae,n/a,Quercus virginiana,Quercus,virginiana,N,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD504,1401,9745,12.58,-32.37,1.51,40.4,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD505,1683,11964,11.72,-33.13,1.61,44.18,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD605,1737,12067,-1.92,-31.85,1.71,45,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD606,1813,12934,-3.21,-30,1.68,46.28,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD631,1633,11596,0.53,-32.46,1.58,46.22,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD632,1434,11399,-0.72,-29.86,1.54,46.26,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD376,3937,6923,1.31,-29.05,1.69,45.81,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD377,3367,6927,3.34,-31.66,1.44,45.1,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD380,3950,6965,5.72,-30.64,1.78,47.12,0,Fagales,Fagaceae,n/a,Quercus hemispherica,Quercus,hemispherica,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD381,3033,6507,1.57,-31.41,1.38,44.62,0,Fagales,Fagaceae,n/a,Quercus minima,Quercus,minima,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD398,4149,9624,4.28,-30.52,1.75,46.8,0,Fagales,Fagaceae,n/a,Quercus falcata,Quercus,falcata,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD399,3784,7231,-2.62,-31.49,1.6,47.23,0,Fagales,Fagaceae,n/a,Quercus hemispherica,Quercus,hemispherica,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD451,1468,4845,8.1,-31.85,1.38,47.18,0,Fagales,Fagaceae,n/a,Quercus falcata,Quercus,falcata,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD465,1759,13894,5.68,-27.86,1.51,45.94,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD466,1571,10103,5.73,-30.46,1.84,45.55,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD517,1355,9732,8.97,-30.45,1.41,43.78,0,Fagales,Fagaceae,n/a,Quercus sp.,Quercus,sp.,N,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD595,799,9859,-1.87,-30.17,0.94,45.9,0,Fagales,Fagaceae,n/a,Quercus virginiana,Quercus,virginiana,N,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD596,997,16962,-1.9,-29.85,0.9,45.95,0,Fagales,Fagaceae,n/a,Quercus laevis,Quercus,laevis,N,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD452,1272,3615,1.38,-30.71,1.57,46.7,0,Fagales,Fagaceae,n/a,Quercus margaretta,Quercus,margaretta,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD610,1284,8886,-2.85,-34.55,1.5,43.45,1,Fabales,Fabaceae,Phaseoleae,Rhynchosia sp.,Rhynchosia,sp.,N,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD611,2080,9981,-1.7,-34.42,2.2,43.6,1,Fabales,Fabaceae,Phaseoleae,Rhynchosia sp.,Rhynchosia,sp.,N,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD400,5993,6798,0.05,-31.41,2.55,44.97,1,Fabales,Fabaceae,Diocleae,Rhynchosia sp.,Rhynchosia,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD401,5806,6591,-0.49,-28.95,2.49,44.04,1,Fabales,Fabaceae,Diocleae,Rhynchosia sp.,Rhynchosia,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD463,2780,4665,2.4,-29.55,2.46,44,1,Fabales,Fabaceae,Phaseoleae,Rhynchosia sp.,Rhynchosia,sp.,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD464,2298,3814,1.88,-30.3,2.53,45.26,1,Fabales,Fabaceae,Phaseoleae,Rhynchosia sp.,Rhynchosia,sp.,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD546,1514,11121,7.79,-32.4,1.44,44.9,0,Rosales,Rosaceae,n/a,Rubus sp.,Rubus,sp.,n/a,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD556,2224,13655,4.03,-31.24,1.84,43.85,0,Rosales,Rosaceae,n/a,Rubus sp.,Rubus,sp.,n/a,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD-318,2568,11402,-1.45,-32.62,1.04,45.49,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD414,1695,4482,3.79,-30.99,1.56,43.83,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD415,1622,3709,0.72,-31.69,1.78,44.39,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD373,4215,6544,1.36,-29.27,1.9,45.87,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD383,4423,6955,6.3,-31.5,1.86,44.29,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD455,1239,4019,0,-30.27,1.32,45.05,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD456,1096,4384,1.29,-31.01,1.05,43.98,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD470,1013,9672,-0.96,-30.16,1.05,37.78,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD471,1173,10477,3.18,-30.72,1.34,46.29,0,Rosales,Rosaceae,n/a,Rubus cuneifolius,Rubus,cuneifolius,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD622a Sesbania,2366,8988,-1.82,-31.29,2.76,44.49,1,Fabales,Fabaceae,Sesbanieae,Sesbania sp.,Sesbania,sp.,N,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD388,10609,7500,-0.26,-30.67,4.2,46.51,1,Fabales,Fabaceae,Sesbanieae,Sesbania sp.,Sesbania,sp.,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD389,8572,7019,-0.27,-31.01,3.59,45.98,1,Fabales,Fabaceae,Sesbanieae,Sesbania sp.,Sesbania,sp.,N,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD615,1158,11435,1.69,-12.2,1.04,41.45,0,Poales,Poaceae,n/a,Setaria sp.,Setaria,sp.,n/a,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD490,2832,9005,-3.42,-34.8,3.27,41.47,0,Asterales,Asteraceae,n/a,Smallanthus uvedalia,Smallanthus,uvedalia,N,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD537,1747,7850,-1.57,-31.55,2.09,42.83,1,Fabales,Fabaceae,Phaseoleae,Strophostyles helvola,Strophostyles,helvola,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD538,2524,8595,-2.41,-34.67,2.77,42.15,1,Fabales,Fabaceae,Phaseoleae,Strophostyles helvola,Strophostyles,helvola,N,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD574,4435,12136,-1.64,-27.59,3.99,42.48,1,Fabales,Fabaceae,Phaseoleae,Strophostyles sp.,Strophostyles,sp.,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD575,3161,7739,-1.52,-27.56,3.28,44.44,1,Fabales,Fabaceae,Phaseoleae,Strophostyles sp.,Strophostyles,sp.,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD591,4020,9345,-0.71,-31.57,3.2,40.49,1,Fabales,Fabaceae,Phaseoleae,Strophostyles sp.,Strophostyles,sp.,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD592,3332,8454,-1.55,-30.52,2.79,40.78,1,Fabales,Fabaceae,Phaseoleae,Strophostyles sp.,Strophostyles,sp.,N,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD-316,8114,9716,-1.25,-32.88,3.5,42.57,1,Fabales,Fabaceae,Millettieae,Tephrosia florida,Tephrosia,florida,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD402,6177,6615,0.46,-28.47,2.7,45.15,1,Fabales,Fabaceae,Millettieae,Tephrosia sp.,Tephrosia,sp.,N,San Felasco,0.04,0.08,1.1,2.19,Alachua,Doby,Upland,Sandhill,Florida,
JRD483,2950,13779,1.03,-28.97,2.41,44.56,1,Fabales,Fabaceae,Millettieae,Tephrosia sp.,Tephrosia,sp.,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD484,2671,13235,0.43,-29.25,2.25,43.97,1,Fabales,Fabaceae,Millettieae,Tephrosia sp.,Tephrosia,sp.,N,Livingston Place,0.23,0.09,4.94,1.79,Jefferson,Doby,Upland,Sandhill,Florida,
JRD-336,8556,11055,-1.53,-31.58,3.39,41.91,1,Fabales,Fabaceae,Trifolieae,Trifolium repens,Trifolium,repens,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD539,4066,11345,0.19,-33.79,3.72,45.87,1,Fabales,Fabaceae,Trifolieae,Trifolium pratense,Trifolium,pratense,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD540,4124,9778,0.65,-33.09,4.35,45.77,1,Fabales,Fabaceae,Trifolieae,Trifolium pratense,Trifolium,pratense,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD612,2417,9197,0.69,-32.73,2.14,44.52,1,Fabales,Fabaceae,Fabeae,Vicia sp.,Vicia,sp.,n/a,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD613,2810,14186,-0.04,-30.87,2.21,44.25,1,Fabales,Fabaceae,Fabeae,Vicia sp.,Vicia,sp.,n/a,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD620,2765,10027,0.54,-31.41,2.76,42.01,1,Fabales,Fabaceae,Fabeae,Vicia acutifolia,Vicia,acutifolia,N,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD621,1910,7844,1.2,-29.87,2.33,40.76,1,Fabales,Fabaceae,Fabeae,Vicia acutifolia,Vicia,acutifolia,N,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
N35-1,2195,12176,1.02,-29.74,1.98,44.28,1,Fabales,Fabaceae,Millettieae,Wisteria sinensis,Wisteria,sinensis,E,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
N35-2,2301,11063,0.25,-28.06,2.48,46.28,1,Fabales,Fabaceae,Millettieae,Wisteria sinensis,Wisteria,sinensis,E,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
